id;name;brand;regular_price;promo_price;store;city
661166;"Дорадо мороженная ЛЕНТА FRESH неразделанная с головой 300–600г, 
весовая";ЛЕНТА FRESH СП;54000.0;40000.0;Лента;Москва
388455;Килька ВКУСНЫЕ КОНСЕРВЫ в томатном соусе, обжаренная, 240г;ВКУСНЫЕ КОНСЕРВЫ;13999.0;11399.0;Лента;Москва
363352;Сельдь слабосоленая МАТИАС, XXL, крупные филе-кусочки в масле, 260г;МАТИАС;31299.0;;Лента;Москва
470767;Крабовые палочки РУССКОЕ МОРЕ Снежный краб, имитация, 200г;РУССКОЕ МОРЕ;26299.0;19299.0;Лента;Москва
277164;Горбуша ЛЕНТА натуральная, 240г;ЛЕНТА;27399.0;21699.0;Лента;Москва
277242;Риет МЕРИДИАН из лосося с мягким творогом, 100г;МЕРИДИАН;18899.0;14099.0;Лента;Москва
495068;Икра осетровая имитированная ЛЕНТА, 220г;ЛЕНТА;12599.0;9699.0;Лента;Москва
154849;Камбала ЛЕНТА FRESH потрошеная без головы, весовая;ЛЕНТА FRESH СП;26000.0;21500.0;Лента;Москва
101611;Лосось Атлантический ЛЕНТА FRESH филе, весовой;ЛЕНТА FRESH СП;215000.0;110000.0;Лента;Москва
641209;Форель слабосоленая РУССКОЕ МОРЕ филе-кусок, 200г;РУССКОЕ МОРЕ;74599.0;55499.0;Лента;Москва
60356;Рыбные палочки из фарша минтая замороженные, обжаренные в панировке, весовые;Прочие Товары;13500.0;;Лента;Москва
589585;Салат из морских водорослей ЛЕНТА Чука с орехово-кунжутным соусом, 100Г;ЛЕНТА;13199.0;9199.0;Лента;Москва
558322;Горбуша ДОБРОФЛОТ натуральная, 245г;ДОБРОФЛОТ;33099.0;25799.0;Лента;Москва
79567;Форель Радужная ЛЕНТА FRESH потрошеная с головой 2–4кг, весовая;ЛЕНТА FRESH СП;269998.0;199998.0;Лента;Москва
223163;Крабовые палочки VICI с мясом натурального краба, 250г;VICI;40399.0;;Лента;Москва
389799;Тунец ЛЕНТА кусочки в собственном соку, 185г;ЛЕНТА;26299.0;20599.0;Лента;Москва
51288;Крабовые палочки замороженные, весовые;Прочие Товары;12250.0;;Лента;Москва
46178;Сельдь слабосоленая МАТИАС филе, 500г;САНТА БРЕМОР;42499.0;;Лента;Москва
716195;Сельдь Тихоокеанская РУССКОЕ МОРЕ Традиционный посол, филе-кусочки в масле, 240г;РУССКОЕ МОРЕ;23199.0;13999.0;Лента;Москва
518391;Форель слабосоленая МИРАМАР филе-кусок, 200г;МИРАМАР;62199.0;44499.0;Лента;Москва
242813;Крабовое мясо РУССКОЕ МОРЕ (имитация), 200г;РУССКОЕ МОРЕ;16299.0;12499.0;Лента;Москва
102607;Икра минтая РУССКОЕ МОРЕ пробойная, 130г;РУССКОЕ МОРЕ;19599.0;15299.0;Лента;Москва
159588;Мидии замороженные, мясо, весовые;ЧТМ fantasy brands;30250.0;25000.0;Лента;Москва
280983;Икра лососевая ПУТИНА зернистая 1-й сорт, 95г;ПУТИНА;73099.0;62199.0;Лента;Москва
634785;Фарш трески свежемороженый BOREALIS блочный, 750г;BOREALIS;60499.0;;Лента;Москва
515383;Икра мойвы САНТА БРЕМОР Икра №1, деликатесная классическая, 180г;САНТА БРЕМОР;21499.0;13199.0;Лента;Москва
627356;Крабовое мясо РУССКОЕ МОРЕ Салатное (имитация), 200г;РУССКОЕ МОРЕ;14499.0;12799.0;Лента;Москва
721740;Салат Чука замороженный, 500г;Прочие Товары;33599.0;17999.0;Лента;Москва
673679;Крабовые палочки VICI Снежный краб 200+50г, 250г;VICI;32399.0;;Лента;Москва
728596;Горбуша ЛЕНТА FRESH По-домашнему, весовая;ЛЕНТА FRESH;24000.0;17998.0;Лента;Москва
514667;Риет МЕРИДИАН из тунца, 100г;МЕРИДИАН;20599.0;14099.0;Лента;Москва
354940;Креветки 365 ДНЕЙ в рассоле, 180г;365 ДНЕЙ;27399.0;20599.0;Лента;Москва
722404;Сельдь Тихоокеанская РУССКОЕ МОРЕ Селедочка на перекус, филе-кусочки в масле, 150г;РУССКОЕ МОРЕ;13599.0;8999.0;Лента;Москва
335707;Кета Тихоокеанская ЛЕНТА FRESH стейк (из замороженного сырья), весовая;ЛЕНТА FRESH СП;52500.0;45000.0;Лента;Москва
489647;Горбуша ВКУСНЫЕ КОНСЕРВЫ натуральная, 245г;ВКУСНЫЕ КОНСЕРВЫ;28799.0;22399.0;Лента;Москва
584297;Окунь морской замороженный ЛЕНТА потрошеный без головы, 800г;ЛЕНТА;73499.0;56499.0;Лента;Москва
679885;Форель слабосоленая WISH FISH филе-кусок, 150г;WISH FISH;53599.0;37699.0;Лента;Москва
730026;Форель слабосоленая VICI филе-кусок, 150г;VICI;53999.0;34999.0;Лента;Москва
548646;Минтай замороженный, филе без кожи, 600г;Прочие Товары;42599.0;;Лента;Москва
697781;Скумбрия натуральная с добавлением масла, 250г;ЧТМ fantasy brands;10399.0;;Лента;Москва
157161;Минтай ЛЕНТА FRESH филе без кожи (из замороженного сырья), весовой;ЛЕНТА FRESH СП;18900.0;16800.0;Лента;Москва
299993;Лосось Атлантический ЛЕНТА FRESH филе (из замороженного сырья), весовой;ЛЕНТА FRESH СП;120000.0;100000.0;Лента;Москва
374446;Минтай замороженный 365 ДНЕЙ без головы, 1000г;365 ДНЕЙ;28499.0;;Лента;Москва
595404;"Сельдь Атлантическая малосоленая ЛЕНТА FRESH в солевой заливке, филе, 
весовая";ЛЕНТА FRESH СП;27500.0;;Лента;Москва
299996;Лосось Атлантический ЛЕНТА FRESH филе (из замороженного сырья) Премиум, весовой;ЛЕНТА FRESH СП;130000.0;110000.0;Лента;Москва
9596;Крабовое мясо VICI, 200г;VICI;19799.0;9399.0;Лента;Москва
325196;Сайра ДОБРОФЛОТ Тихоокеанская натуральная, 245г;ДОБРОФЛОТ;31999.0;21999.0;Лента;Москва
720458;Сельдь ЛЕНТА филе в масле, 400г;ЛЕНТА;27399.0;22799.0;Лента;Москва
558168;Икра горбуши КАМЧАТСКОЕ МОРЕ зернистая, 320г;КАМЧАТСКОЕ МОРЕ;423999.0;236999.0;Лента;Москва
371212;Шпроты ВКУСНЫЕ КОНСЕРВЫ в масле, 160г;ВКУСНЫЕ КОНСЕРВЫ;18699.0;14199.0;Лента;Москва
520295;Салат из морских водорослей ЛЕНТА Чука с кунжутом, 100г;ЛЕНТА;13299.0;9199.0;Лента;Москва
495007;Икра лососевая имитированная ЛЕНТА, 220г;ЛЕНТА;12799.0;9899.0;Лента;Москва
631697;Шпроты ВКУСНЫЕ КОНСЕРВЫ в масле, Экстра, 270г;ВКУСНЫЕ КОНСЕРВЫ;34199.0;23299.0;Лента;Москва
518432;Крабовые палочки РУССКОЕ МОРЕ Королевский краб, с мясом натурального краба (имитация), 250г;РУССКОЕ МОРЕ;29699.0;23099.0;Лента;Москва
769168;Минтай VICI порции филе в панировке, 300г;VICI;28199.0;;Лента;Москва
743754;Форель Радужная замороженная, филе с кожей, весовая;Прочие Товары;170999.0;134999.0;Лента;Москва
459640;Тунец 365 ДНЕЙ рубленый в собственном соку, 185г;365 ДНЕЙ;8899.0;;Лента;Москва
582442;Лосось PATE LE MARE подкопченный рубленый, 150г;PATE LE MARE;14199.0;9999.0;Лента;Москва
716221;Икра сельди ПУТИНА ястычная в масле с укропом и луком, 160г;ПУТИНА;24099.0;;Лента;Москва
452847;Форель слабосоленая МЕРИДИАН филе-кусок, 150г;МЕРИДИАН;48499.0;41399.0;Лента;Москва
542747;Кижуч Тихоокеанский ЛЕНТА FRESH стейк (из замороженного сырья), весовой;ЛЕНТА FRESH СП;65000.0;59950.0;Лента;Москва
554281;Лосось 3–5кг, замороженный, весовой;Прочие Товары;539997.0;359997.0;Лента;Москва
568240;Икра трески СОКРОВИЩА ОКЕАНА, 120г;СОКРОВИЩА ОКЕАНА;10999.0;8199.0;Лента;Москва
672686;Икра сельди деликатесная РУССКОЕ МОРЕ Люкс Оригинальная, 100г;РУССКОЕ МОРЕ;18299.0;14199.0;Лента;Москва
714680;Пангасиус замороженный ЛЕНТА филе, 500г;ЛЕНТА;32499.0;25099.0;Лента;Москва
539216;Икра рыбная ЛЕНТА с кусочками копченой горбуши/копченого лосося, в  соусе, 180г;ЛЕНТА;20099.0;14199.0;Лента;Москва
446764;Креветки свежемороженые, в панцире без головы 21/25, весовые;ЧТМ fantasy brands;70000.0;63500.0;Лента;Москва
508481;Треска замороженная BOREALIS филе без кожи и костей (спинка), 400г;BOREALIS;129999.0;;Лента;Москва
749920;Икра трески Атлантической ALAND пробойная, 120г;ALAND;14899.0;11399.0;Лента;Москва
716427;Сельдь Атлантическая БАЛТИЙСКИЙ БЕРЕГ филе на коже в заливке с пряностями, 250г;БАЛТИЙСКИЙ БЕРЕГ;16999.0;11999.0;Лента;Москва
